,10Percentile,90Percentile,Energy,Entropy,InterquartileRange,Kurtosis,Maximum,MeanAbsoluteDeviation,Mean,Median,Minimum,Range,RobustMeanAbsoluteDeviation,RootMeanSquared,Skewness,TotalEnergy,Uniformity,Variance,Autocorrelation,ClusterProminence,ClusterShade,ClusterTendency,Contrast,Correlation,DifferenceAverage,DifferenceEntropy,DifferenceVariance,Id,Idm,Idmn,Idn,Imc1,Imc2,InverseVariance,JointAverage,JointEnergy,JointEntropy,MCC,MaximumProbability,SumAverage,SumEntropy,SumSquares,GrayLevelNonUniformity,GrayLevelNonUniformityNormalized,GrayLevelVariance,HighGrayLevelRunEmphasis,LongRunEmphasis,LongRunHighGrayLevelEmphasis,LongRunLowGrayLevelEmphasis,LowGrayLevelRunEmphasis,RunEntropy,RunLengthNonUniformity,RunLengthNonUniformityNormalized,RunPercentage,RunVariance,ShortRunEmphasis,ShortRunHighGrayLevelEmphasis,ShortRunLowGrayLevelEmphasis,HighGrayLevelZoneEmphasis,LargeAreaEmphasis,LargeAreaHighGrayLevelEmphasis,LargeAreaLowGrayLevelEmphasis,LowGrayLevelZoneEmphasis,SizeZoneNonUniformity,SizeZoneNonUniformityNormalized,SmallAreaEmphasis,SmallAreaHighGrayLevelEmphasis,SmallAreaLowGrayLevelEmphasis,ZoneEntropy,ZonePercentage,ZoneVariance,quality
img00001,0.0,138.0,13500227667.0,2.4487467726855,63.0,3.473056428937512,244.0,41.87654835972663,49.790820100316665,31.0,0.0,244.0,28.89602465130721,72.11682615331898,1.176880488730403,13500227667.0,0.24792372034741453,2721.7108481659347,8.434952209930408,469.0094719320144,42.90884894743572,11.08015681816903,3.123192980169058,0.5301853641631116,1.110353594216084,1.6946643012524825,1.3953911296406314,0.6683312660723743,0.6276663798331605,0.9721550667524809,0.9124886080147265,-0.5048103087561872,0.9279433070601091,0.27757659381523986,2.5382655647449752,0.1419268265246118,3.5930321336089333,0.818089943815592,0.29651569825954555,5.07653112948995,2.983214074871043,3.550837449584521,1165.6487661424371,0.14904088558271794,4.79556175421737,13.46782915623895,750.7383544178782,4328.289344662867,536.3430804250329,0.3722700382296724,4.374880346700846,1175242.8013001157,0.5798411950414109,0.587362891367468,646.010466323766,0.7136596592850204,10.21776415172867,0.23320188610714715,18.448024549290373,199895307.65912288,618115728.6876359,154063538.00073773,0.2898625374856455,1246.2717043856285,0.15934940600762415,0.38194643965917835,7.19575254760628,0.10663135276413725,6.487907921113563,0.0030129672006102212,199785150.88937446,1
img00002,0.0,135.0,12831142875.0,2.472195611951996,63.0,3.241146108183609,244.0,41.03228652097043,51.14764377454861,33.0,0.0,244.0,29.182321017817383,71.73416845158812,1.0721096329795785,12831142875.0,0.23606932230820218,2529.709459752696,8.44607695836671,384.43762707514804,35.07613381814881,10.311896902116395,2.999800965926008,0.5189156034487239,1.1275764675067583,1.6858394979828877,1.2238871752497342,0.6542340209064142,0.610101281846238,0.9729106492513583,0.9101835346393655,-0.5000064087257458,0.9284207329114273,0.2838461839119745,2.5719959275862077,0.13115023402562828,3.6382937359596395,0.820188339647612,0.2690358469191426,5.143991855172415,2.9928086978035875,3.3279244670106007,1332.5421115065244,0.15807142485249398,4.945491304427363,12.962342899825058,549.1279845855814,3625.0017663442222,352.93387895957926,0.3701170814442376,4.311365146491963,1190555.779787861,0.5971926890736647,0.6034672427810327,466.4099802042216,0.7249921518058667,9.951473305299572,0.2363396434977216,18.048517200474496,162008070.81304863,577409462.29051,117439259.17681015,0.32451312135613875,1302.4903914590748,0.15450657075433863,0.37399343580536465,6.925533591164235,0.11356194664184692,6.459314498901484,0.003380760225897345,161920578.22578707,1
img00003,0.0,121.0,12487338903.0,2.551255393517221,61.0,3.6623801940024587,255.0,37.02274858752917,53.604736192421804,44.0,0.0,255.0,28.58086802716857,70.76660273700783,0.9172425998802269,12487338903.0,0.2015022117131278,2134.4443206783476,9.438842500201675,391.54003925398814,30.246492086970264,9.725886741663112,1.6168545847147715,0.7039062795270746,0.8170100723625496,1.45065939790681,0.7043104475821812,0.7037626108230413,0.6697858601074913,0.9872858562354027,0.9367911699121856,-0.4956858745469392,0.9336010704436772,0.30406666744359834,2.722212059690955,0.11680862006598453,3.775711903939368,0.851666347804775,0.2403092829029204,5.44442411938191,3.1406248715758025,2.835685331594471,1385.18179829359,0.15151846404436556,4.043040321879333,13.371189493974335,386.40130176218395,2209.4335020282165,238.75249431189786,0.27023135323880126,4.383870761499793,961442.3961255252,0.5156224938148113,0.5716216475515973,328.12874503939514,0.6823365997205748,10.073437926326392,0.14461902081020248,18.155217676657188,91391031.52789325,506141715.89433384,40113667.22674489,0.2584633518604689,1403.4548238897396,0.1535172636064034,0.3782530303464115,6.984558607462542,0.09396687680720602,6.569696885451042,0.003666300116862815,91316636.48908189,1
img00004,0.0,113.0,11064342703.0,2.452304299389999,56.0,3.7659316570521586,254.0,34.61531727339317,50.859467452061786,41.0,0.0,254.0,26.579745127989295,66.61257271812961,0.9041958308423348,11064342703.0,0.215638339309857,1850.5494146207727,8.465501793014464,291.6779566304848,23.478731462403747,8.1300505197795,1.5392199898477987,0.6682196274125877,0.7943370687854951,1.4200133159452497,0.6769982116381976,0.7097053012977803,0.6757289480094428,0.9878653603264246,0.9383708725117882,-0.49700446337461773,0.9294173544042666,0.294634359091173,2.6108723405822123,0.12466846084216503,3.6172739876461697,0.8510788590188204,0.23866683625723548,5.221744681164425,3.0231036530906654,2.4173176274068253,1645.286983562861,0.18272845219489792,3.517097428538104,11.850935486184527,395.4123244069717,2285.3415719286636,224.03512083169576,0.28477228440744595,4.285899585605235,922262.4144635003,0.501355875619817,0.564745152253905,334.6965273935744,0.6741752116134221,8.991512782356512,0.1499518587220712,15.310417592181253,130543925.31274989,588290786.8764993,67396337.4248358,0.3020125316451315,1304.3656152820968,0.1448651283076518,0.36300743276418707,5.549422403814976,0.10709646494882115,6.422968900973226,0.00361095671102962,130467232.36404507,1
img00005,0.0,143.0,13246468490.0,2.308527238409373,69.0,3.4665974978376646,254.0,44.76935034718188,46.42086735148116,26.0,0.0,254.0,29.96603262446668,72.88588865125628,1.2650636806226219,13246468490.0,0.296641622073658,3157.4558388195223,7.966199168672473,570.175160554398,53.00539660135996,12.236725681491496,3.73687877314358,0.5004532848272333,1.0735846125219266,1.6295526756034227,2.1267931098978035,0.7267101629755138,0.6920863870266422,0.9728443084817842,0.9251831986987971,-0.4848202935538757,0.9107844999253589,0.185782053578868,2.415660236400658,0.20166732204024657,3.431543675292554,0.7950139042953237,0.4116714883137479,4.831320472801316,2.8400076557632934,3.9934011136587677,980.9212041884816,0.12839282777336147,6.2255351929771665,15.25565729095065,867.32174181901,3550.231367551429,735.6040566665065,0.38557678812707785,4.539211318628894,740707.4407508535,0.44888645648052966,0.5106711279498206,774.6596293743316,0.6423277331494023,11.606748485300129,0.18559173268756182,23.310340314136127,229825426.07460734,604981619.290445,195084627.08377945,0.25630569391654284,1096.4761780104711,0.14351782434692031,0.3585682054851353,8.828063614834143,0.08844963983100014,6.800658156389784,0.003063939279460939,229718903.98152325,1
img00006,0.0,139.0,12197784006.0,2.2253034076216465,64.0,3.556135432525759,249.0,43.23948037772223,44.0661995362383,24.0,0.0,249.0,28.409312613310373,69.94132688612736,1.3043296904063126,12197784006.0,0.318407311956757,2949.959265024553,7.307152314706945,509.7729238162886,49.1039610801032,11.297655056539451,3.6206237512020043,0.48120799591008245,1.0492006984145161,1.6011004576425638,2.0815760577761373,0.7307691951603734,0.6971562410339154,0.9688806922898663,0.921164910296502,-0.47834863112768505,0.9005923645870083,0.1884031897215093,2.319936616879959,0.21704601786048883,3.3142340653979208,0.7796639172472802,0.43090883907184224,4.639873233759918,2.735178784692005,3.7295697019353637,928.2220408163265,0.1262887130362349,5.934101827942062,14.348170770599648,952.403664572859,3572.623248932432,814.9037552694647,0.40963658813206505,4.5028274971458835,728101.7385250046,0.4433924810805659,0.5075990136410697,850.986642258841,0.6382755226931438,10.8659365656649,0.19674825124358214,22.792108843537417,256860398.9352381,610206639.437415,225567171.41213775,0.2508700472668281,1066.9526530612245,0.14516362626683327,0.36097662891660387,8.614315785609344,0.08678811820441316,6.751513344209401,0.002947637919376689,256745305.18792012,1
img00007,0.0,141.0,17477949917.0,2.6729945368892105,100.0,2.499503454939533,255.0,46.62625089363957,61.96191611704248,59.0,0.0,255.0,39.12674373553731,83.72181660284892,0.5423914572546111,17477949917.0,0.19727627643786821,3170.0635263856593,13.231265133120726,585.2458009899478,32.490567070448094,15.17317779738674,1.3531360902936918,0.8322026181747997,0.7058024500371792,1.3720023863609456,0.6803892752568866,0.7419236867769758,0.7106288071584671,0.9893069352316746,0.9451741962145993,-0.6077058932448849,0.9729861019726995,0.25440339061926837,3.126615242384629,0.1532608853441237,3.662024208475299,0.9949179963948909,0.34163289622308224,6.253230484769258,3.080460658261563,4.1315784719201085,1427.01280839895,0.1498176176796798,3.8502512382802543,19.510384107245823,465.18452860372497,2206.1435087905274,376.94046600612467,0.19610554285375248,4.372245479050098,806709.7412661599,0.47531774518235476,0.5280184167059839,412.5278973010731,0.6560876347168189,14.623951524532242,0.06669848636382247,28.203569553805774,119340700.887979,685609909.0500787,81257187.81726734,0.07728397911300049,1526.2692913385827,0.16023824580982496,0.39001599695526823,10.710098402110301,0.031951294284664145,6.544933412157113,0.0038198981200085664,119272168.40926106,1
img00008,0.0,147.0,18905027280.0,2.6411833106431195,106.0,2.3392606052551717,255.0,48.05999574846111,64.84325063103513,62.0,0.0,255.0,40.84193908915498,87.07270812558686,0.476607127975847,18905027280.0,0.20272202869859485,3377.0093479244006,14.199038894002491,616.8728527174245,29.75796482598826,16.139523832384675,1.4772661016650181,0.8281651898808093,0.7251372568322398,1.3706836198819872,0.7643980617093,0.7466612588329825,0.7114845004097398,0.9883549999712328,0.9442020922596842,-0.6147848797581534,0.9734800698366306,0.21123653184534907,3.2454167317194784,0.15692595319050084,3.6103313481674393,0.9951055073164528,0.3413501284817582,6.490833463438956,3.053098509196268,4.404197483512424,1569.3201565557729,0.15355383136553552,4.100091528448497,20.769540824741828,482.7605640873538,2730.478829536269,387.9114780681751,0.19170123564182273,4.383485124793406,730625.5271104127,0.4432239576828971,0.5139217046904248,425.98399432706657,0.637166225287226,15.657938580856285,0.05840623452579937,26.10371819960861,112696362.11350293,653018182.863503,75562778.96475343,0.0896279335887123,1583.262818003914,0.15491808395341622,0.3781679325247955,9.84538680515092,0.03391037353907176,6.552332457117487,0.004098620345038062,112636833.65768662,1
img00009,0.0,128.0,12794965896.0,2.5407507727728214,63.0,3.249488967299089,244.0,38.869491628061674,53.04968795141972,40.0,0.0,244.0,28.767583739206504,71.63297102390574,0.9585537263048364,12794965896.0,0.21155388214611362,2317.013145968713,9.177324866238909,349.48135075236075,30.558174677521556,10.10804192193094,2.1611899968055486,0.6291590989565652,0.9594602707050892,1.5692186180931407,0.8929685171953229,0.6780037918275629,0.6372049677841639,0.9799078986449715,0.9212421714445745,-0.4872854768729187,0.928662301124633,0.2871414985491828,2.6812500596423234,0.11971542852346381,3.772668892029145,0.7887537027003009,0.2498355475445642,5.362500119284645,3.10892368256011,3.067307979684122,1506.198347107438,0.16378842400037386,4.382930583223487,13.237663126946462,369.39504818036283,2169.80738444664,244.45103494845213,0.30530708838723775,4.37655197926214,1066623.442410609,0.5522165669429538,0.5885869619203433,311.7854902942689,0.698908554448286,10.08624872706927,0.17703800292269958,19.087103088299262,125624312.80274032,488739708.18475425,79016884.96191645,0.25429547500153704,1390.1979121357112,0.15117419662197817,0.37466623334374943,7.400265500005361,0.09151719409765346,6.568467919223731,0.0036879562321888476,125550788.91159557,1
img00010,0.0,126.0,12205002489.0,2.499462583079508,61.0,2.931238587319263,234.0,37.94845770879482,52.40701746365181,39.0,0.0,234.0,28.43859165003821,69.9620189891817,0.8543111708109364,12205002489.0,0.21410555733549785,2148.1886216071166,8.789348101652317,256.3531590848092,22.966696552367093,9.10156537936114,2.1187836663385116,0.6015863050190231,0.9525519707124311,1.5513197654139605,0.8687751006689891,0.679418976430261,0.6380679479002722,0.9802328526648492,0.9216681927811288,-0.49120524727624887,0.9288714340067916,0.28139756163090673,2.6536819141400545,0.1205449507896521,3.703135798150624,0.7980551798385296,0.2428981019218894,5.307363828280109,3.057861072383624,2.805087261424913,1741.4623678646935,0.18408693106392107,3.9780372683022764,12.460639634205299,359.9002768638623,2385.5111026025556,216.28569259486162,0.309310687074258,4.31224999913825,1052858.4551533407,0.5479473093371657,0.5863336770547535,301.69757752878945,0.6979624338083052,9.62968485398961,0.17533982866192258,17.139746300211417,125619234.54756871,536752868.11194503,73048154.78695817,0.2906261309736878,1429.7583509513743,0.15113724640077952,0.37622757191972894,6.578455402132478,0.10605471180588265,6.432826633046055,0.003793830573782786,125549757.0551059,1
