"image_id","p_bad"
"img00023",0.0078
"img00024",0.0097
"img00033",0.0094
"img00062",0.0045
"img00064",0.0083
"img00133",0.0072
"img00241",0.0074
"img00257",0.0058
"img00258",0.009
"img00296",0.0077
"img00314",0.0097
"img00350",0.0069
"img00357",0.009
"img00372",0.0025
"img00373",0.0027
"img00417",0.0068
"img00425",0.0066
"img00427",0.0042
"img00439",0.0075
"img00442",0.0052
"img00449",0.0061
"img00451",0.0057
"img00452",0.0084
"img00468",0.0093
"img00469",0.0064
"img00474",0.007
"img00475",0.0083
"img00476",0.0055
"img00509",0.0088
"img00532",0.0075
